глагол,частота
zaobići,50
prerastiti,50
odgovor,50
izvojevati,50
kodirati,49
zasnovati,49
odseliti,49
podležiti,49
takmiti,49
doseziti,49
fositi,49
novonastati,49
ubaciti,49
porušiti,49
konstatovati,49
popravljati,49
premeštati,49
proisticati,49
manastirati,49
ubrzavati,49
ugraditi,49
zainteresovati,48
pogotovati,48
zagrevati,48
zaslužiti,48
naplaćivati,48
deklarisati,48
podariti,48
sečiti,48
obavezivati,48
upitati,48
pozoviti,48
otpuštati,48
preklapati,47
družiti,47
kopirati,47
ispitovati,47
upoređivati,47
integrisati,47
forsirati,47
obračunati,47
reformisati,47
osvetiti,47
ujedinjivati,47
potpasti,47
dočekivati,47
postradati,47
zati,47
zarađivati,46
popremati,46
nazoviti,46
utemeljiti,46
zabavljati,46
paziti,46
marširati,46
udvostručiti,46
pozdravljati,46
vaditi,46
prevariti,46
oksidovati,46
zapisivati,45
magistrati,45
nadovezivati,45
egzistirati,45
ratifikovati,45
uroditi,45
ukrašavati,45
pristup,45
likvidirati,45
obrasti,45
vjerivati,45
okružiti,45
migrirati,45
rasporediti,45
odseći,45
streljati,45
priređivati,45
izići,45
oglasiti,45
otpustiti,45
proveriti,44
izvučiti,44
zanemariti,44
zračiti,44
kršiti,44
podudarati,44
zbiti,44
počiti,44
dopati,44
učvršćivati,44
ispoljiti,44
razbovati,44
obitavati,44
seći,44
osporiti,44
obogatiti,44
kolonizovati,44
proteći,44
zaostati,44
dostaviti,44
dodirati,44
iznenaditi,44
=ati,44
potonuti,44
plivati,44
sleteti,44
otpočaniti,44
zanemarivati,43
domoći,43
podležati,43
skovati,43
oblačiti,43
odstupati,43
rasliti,43
napad,43
favorizovati,43
raspadati,43
nadmašiti,43
darovati,43
popuniti,43
ispitivati,43
kapitulirati,43
hladiti,43
oboleti,43
crtati,42
dvati,42
poistoveći,42
objastiti,42
viditi,42
sagledati,42
bližati,42
izvaditi,42
snižavati,42
nagoveštavati,42
pogoršavati,42
uplašiti,42
praznovati,42
sanjati,42
zahvaliti,42
konsolidovati,42
dosezati,42
obojati,42
slikati,42
progutati,42
daditi,42
diskutovati,42
diviti,42
srediti,42
lučiti,42
hodati,41
zadavati,41
osloniti,41
veseti,41
premašiti,41
odustajati,41
žena,41
informisati,41
bojkotovati,41
prineti,41
usmrtiti,41
spasavati,41
otkazati,41
krokoditi,41
eksploatisati,41
vazati,41
snositi,41
boći,41
izlečiti,41
leteti,41
požuriti,41
svršiti,41
pomešati,40
}-,40
proizaći,40
štampati,40
dodirovati,40
oduzati,40
povrediti,40
pribaviti,40
udruživati,40
vlastetati,40
propagirati,40
otcepiti,40
poverovati,40
preleteti,40
upustiti,40
ukrcati,40
zakonopraviti,40
prodaja,40
poznati,39
vesti,39
sušiti,39
distribuirati,39
pohvatiti,39
pristupati,39
zaklesti,39
naslijediti,39
popuštati,39
odvratiti,39
feldmaršati,39
regrutovati,39
nagovarati,39
odrisati,39
izabeti,39
uzvratiti,39
umresati,39
probati,39
maturirati,38
došati,38
širok,38
interesivati,38
vidjeti,38
uslijediti,38
kriviti,38
ispovedati,38
kazivati,38
pošliti,38
lutati,38
naseti,38
vežbati,38
poslivati,38
svideti,38
začeti,38
slivati,38
umeo,38
doznati,38
buknuti,38
ispričati,38
šaliti,38
otpočinjati,37
planeti,37
sahranjivati,37
potpomagati,37
narušavati,37
spriječiti,37
podijeliti,37
učestati,37
buniti,37
odstupiti,37
sresti,37
izučiti,37
trijumfovati,37
digati,37
propuštati,37
oluja,37
bligati,37
sazrevati,37
uzdignuti,37
viđati,37
ugrađivati,37
objediniti,36
dijeti,36
popunjavati,36
udarati,36
diktirati,36
snaći,36
nadmetati,36
iskusiti,36
servirati,36
uvoziti,36
izreći,36
ispraviti,36
propasiti,36
prepisivati,36
patiti,36
dignuti,36
poneći,36
preplitati,36
opažati,36
založiti,36
uviđati,36
mrzeti,36
razlagati,36
zameriti,36
zapažati,36
nuti,36
sifilis,36
napajati,35
specijalizovati,35
doniti,35
implicirati,35
tolerisati,35
obučavati,35
zaputiti,35
on,35
narušiti,35
sviđati,35
preferirati,35
otpevati,35
oticati,35
davasti,35
zaživeti,35
raskinuti,35
osvesiti,35
poleti,35
tužiti,35
ugovoriti,35
izostati,35
zahtijevati,34
izumrtiti,34
upijati,34
dopreti,34
unapređivati,34
pozajmljivati,34
vredeti,34
rukovati,34
prisiljavati,34
preraditi,34
usuditi,34
produžavati,34
zbivati,34
opravdavati,34
stimulisati,34
stopiti,34
sviliti,34
izroditi,34
priložiti,34
zaveštati,34
izginuti,34
prititi,33
upad,33
akumulirati,33
poprimati,33
prepuštati,33
svjedočiti,33
vezivati,33
odmetnuti,33
raskidati,33
sazivati,33
trgujati,33
uvati,33
sretiti,33
uklopiti,33
premašivati,33
podvizavati,33
preovladati,33
razbijati,33
znameniti,33
god.,33
razmotriti,33
evakuisati,33
zapovedati,33
isporučiti,33
protumačiti,33
prikloniti,33
startovati,33
objedinjivati,32
prevladati,32
osušiti,32
pohvaliti,32
behati,32
skratiti,32
prognati,32
preživljavati,32
zaljubljivati,32
zasedati,32
implementirati,32
donirati,32
dogovarati,32
izlivati,32
dirigovati,32
ukrasiti,32
pariti,32
primena,32
nacrtati,32
prinuditi,32
kvariti,32
poslatiti,32
ohladiti,32
prodrlati,32
čestitati,32
opraštati,31
preobratiti,31
ispadati,31
ponići,31
rasplamsati,31
lišiti,31
vileti,31
opevati,31
obučiti,31
ugostiti,31
pokupiti,31
umarširati,31
komentarisati,31
naročiti,31
motivisati,31
legalizovati,31
skočiti,31
hvati,31
