word,rank,neighbor,score
saznati,10.0,upoznati,0.8116733431816101
priznati,1.0,priznaćeš,0.9035878777503967
priznati,2.0,priznat,0.8900509476661682
priznati,3.0,priznatim,0.8899823427200317
priznati,4.0,priznaj,0.8877874612808228
priznati,5.0,priznato,0.8847864270210266
priznati,6.0,priznam,0.8843798637390137
priznati,7.0,priznate,0.8791033029556274
priznati,8.0,priznali,0.8747794032096863
priznati,9.0,priznatih,0.8745903372764587
priznati,10.0,priznaju,0.8719508051872253
doznati,,,
učiniti,1.0,činiti,0.9399517178535461
učiniti,2.0,načiniti,0.8913309574127197
učiniti,3.0,učiniće,0.8671083450317383
učiniti,4.0,učini,0.852082371711731
učiniti,5.0,učiniocu,0.8493959307670593
učiniti,6.0,izviniti,0.8430027365684509
učiniti,7.0,učiti,0.8328632712364197
učiniti,8.0,uciniti,0.8269211649894714
učiniti,9.0,uvažiti,0.8266720175743103
učiniti,10.0,ublažiti,0.824840784072876
načiniti,1.0,učiniti,0.8913309574127197
načiniti,2.0,činiti,0.8898221850395203
načiniti,3.0,načini,0.8751468062400818
načiniti,4.0,naznačiti,0.8388487100601196
načiniti,5.0,načine,0.8343185186386108
načiniti,6.0,načinila,0.829102635383606
načiniti,7.0,načinio,0.8290058970451355
načiniti,8.0,izvlačiti,0.8247096538543701
načiniti,9.0,načinu,0.8116871118545532
načiniti,10.0,narušiti,0.8110871911048889
dodavati,1.0,davati,0.8648932576179504
dodavati,2.0,dodati,0.8586286306381226
dodavati,3.0,popunjavati,0.8338707685470581
dodavati,4.0,ubacivati,0.822628915309906
dodavati,5.0,reagovati,0.8209052085876465
dodavati,6.0,upisivati,0.8180963397026062
dodavati,7.0,korigovati,0.8171614408493042
dodavati,8.0,prodavati,0.8164903521537781
dodavati,9.0,čuvati,0.81624835729599
dodavati,10.0,uklanjati,0.8158501386642456
prodavati,1.0,prodati,0.899941086769104
prodavati,2.0,prodavce,0.8907474875450134
prodavati,3.0,prodavcu,0.8850257992744446
