глагол,частота
smisliti,3
interesivati,3
poznati,3
zahtjevati,3
pamti,3
saznavati,3
usklađivati,3
vuti,3
progoniti,3
poprimati,3
posviti,3
pozajmljivati,3
potpomagati,3
razvrstavati,3
mjuzići,3
prepuštati,3
adaptirati,3
skidati,3
bujati,3
utisnuti,3
vesti,3
vredeti,3
poricati,3
taložiti,3
narušavati,3
preseći,3
razotkrivati,3
raspodeljivati,3
lokalizovati,3
uskratiti,3
pohvatiti,3
afirmisati,3
poditeti,3
izbjeći,3
opsluživati,3
konkurisati,3
oduzati,3
rukovati,3
raseliti,3
poremetiti,3
doprinijeti,3
dopriniti,3
režirati,3
prepoloviti,3
propisivati,3
navodnjavati,3
pretendovati,3
jačiti,3
zaboraviti,3
servirati,3
osvetljavati,3
dostavljati,3
povrediti,3
odvezati,3
ubaciti,3
dosuđivati,3
kazna,3
ispadati,3
likvidirati,3
doživiti,3
pohvaliti,3
susresti,3
darivati,3
obolesti,3
zaklesti,3
zamonašiti,3
prezirati,3
sprijateljiti,3
skrivati,3
krunisati,3
progurati,3
pogoršavati,3
otpadati,3
dopriniseti,3
nalikovati,3
kazivati,3
izreći,3
otimati,3
odricati,3
pomišljati,3
paziti,3
uvrediti,3
mobilisati,3
proputovati,3
starati,3
pokriti,3
citirati,3
sumirati,3
legnuti,3
uplašiti,3
iščupati,3
ukrati,3
usuditi,3
podariti,3
navići,3
dogmati,3
rasplamsati,3
posredovati,3
buniti,3
istupati,3
odmoriti,3
voziti,3
vaskrsati,3
odstupiti,3
sići,3
udaljivati,3
poučavati,3
uskrsnuti,3
bilježiti,3
odvratiti,3
tući,3
zapleniti,3
udaljiti,3
dobići,3
bolovati,3
sanjati,3
zahvaliti,3
slići,3
odstupati,3
otudati,3
gospodariti,3
ispoljiti,3
dokumentovati,3
remeti,3
probovati,3
zaobići,3
eskadriti,3
favorizovati,3
poneći,3
marširati,3
koordinisati,3
regrutovati,3
razbovati,3
razrešiti,3
opravdavati,3
impresionirati,3
osjećati,3
prisvajati,3
odgovor,3
testirati,3
vlasteti,3
buditi,3
pozajmiti,3
dospevati,3
nagovarati,3
preferirati,3
seći,3
plaviti,3
zapljuskovati,3
račvati,3
gomilati,3
pokrštavati,3
doticati,3
deportovati,3
popesti,3
prebivati,3
proučiti,3
propagirati,3
rivati,3
stimulisati,3
zabrana,3
vući,3
trpeti,3
govesti,3
stapati,3
redukovati,3
preplaviti,3
obogatiti,3
uloviti,3
premašivati,3
velesiti,3
svrguluti,3
poručiti,3
urušiti,3
opustošiti,3
izabeti,3
upamtiti,3
otežati,3
sviliti,3
izdići,3
dosegnuti,3
destabilizovati,3
izglasavati,3
suprostavljati,3
davasti,3
snositi,3
dopiriti,3
pljačkati,3
tvoriti,3
nadziriti,3
pridonositi,3
potkrati,3
razmenjivati,3
vaditi,3
raspisivati,3
kositi,3
obezbjediti,3
paraleti,3
najavljivati,3
nazad,3
jesti,3
sufizati,3
obeshrabriti,3
laviti,3
kvalifikovati,3
simulirati,3
instalirati,3
pritisnuti,3
uzavreti,3
unistiti,3
jačasti,3
revidirati,3
izumrlati,3
umarširati,3
dočaravati,3
sustići,3
simbolisati,3
isporučivati,3
onemogućiti,3
potresati,3
sputavati,3
slikati,3
zaživeti,3
prebeći,3
ostali,3
uokvirivati,3
-e,3
nadživeti,3
nadmašiti,3
uneo,3
začovati,3
poručivati,3
prizivati,3
odvraćati,3
mrzeti,3
ubeđivati,3
posveti,3
posrnuti,3
interesovati,3
zaklinjati,3
osvesiti,3
silovati,3
zakopati,3
ukraditi,3
sažaliti,3
oterati,3
zlostaviti,3
štimovati,3
iskvariti,3
potući,3
smiriti,3
iznenaditi,3
preštimavati,3
kasniti,3
guštiti,3
upražnjavati,3
su,3
priraštati,3
usporavati,3
naznačavati,3
osjetati,3
ispitivati,3
anulirati,3
buknuti,3
miješati,3
razvesti,3
isporučiti,3
diskriminisati,3
poslatati,3
saopštiti,3
odlukovati,3
podrazumijevati,3
ulijevati,3
poslatiti,3
rizikovati,3
impresariti,3
sagorevati,3
obasjavati,3
prosleđivati,3
staziti,3
prestavljati,3
kometiti,3
ispariti,3
prevaliti,3
odraditi,3
pomešati,2
napomeniti,2
citati,2
gotoviti,2
prosti,2
formatirati,2
uvažavati,2
ozdraviti,2
ispisati,2
izostajati,2
pogaziti,2
prehraniti,2
došati,2
oštetiti,2
rasprodati,2
zahvaljivati,2
polomiti,2
družiti,2
doktorati,2
sabirati,2
napajati,2
pišiti,2
pohranjivati,2
kopirati,2
uobličavati,2
postulirati,2
artikulisati,2
teoretisati,2
sistematizovati,2
razvrstati,2
izmena,2
nakupeti,2
podleći,2
eksperimentisati,2
započnuti,2
umnožavati,2
popisivati,2
formalizovati,2
generalizovati,2
zainteresivati,2
podnebljati,2
dočarati,2
anticipirati,2
zaživjeti,2
potaći,2
ubrojiti,2
obuhvaćati,2
osamostaliti,2
razgraničiti,2
ispitati,2
nilati,2
žonglirati,2
oponašati,2
lirati,2
biležiti,2
kategorisati,2
jenjavati,2
pevaniti,2
rečitativ,2
izvještavati,2
urezivati,2
očistiti,2
vajati,2
odlivati,2
sagledavati,2
steti,2
savladavati,2
bisti,2
rezbariti,2
dopuniti,2
bodovati,2
tolerisati,2
sušiti,2
mikrofositi,2
raščlanjivati,2
raspitati,2
trenirati,2
žena,2
nadoknada,2
presreti,2
snaći,2
informisati,2
prihvaćati,2
priprema,2
pretapati,2
zabilježiti,2
kopazati,2
vezivati,2
produživati,2
pobrđati,2
ohrabrivati,2
